Jahr;BFS_Nummer;Gemeinde;Indikator;Wert
2020;2783;Burg i.L.;Mittlere_Wohnbevölkerung_Vorjahr;273.0
2020;2783;Burg i.L.;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;658490.8
2020;2783;Burg i.L.;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;351.65
2020;2783;Burg i.L.;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;461.45
2020;2783;Burg i.L.;Steuerkraft_Total_CHF;527748.03960098
2020;2783;Burg i.L.;Steuerkraft_pro_Einwohner_CHF;1933.14300220139
2020;2783;Burg i.L.;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;195702.0
2020;2783;Burg i.L.;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;2518.0
2020;2784;Dittingen;Ressourcenausgleich_Gebergemeinden_CHF;32619.0
2020;2784;Dittingen;Ressourcenausgleich_Empfängergemeinden_CHF;0.0
2020;2784;Dittingen;Lastenabgeltung_Bildung_Schülerzahl_CHF;59900.0
2020;2784;Dittingen;Lastenabgeltung_Bildung_Weite_CHF;74445.0
2020;2784;Dittingen;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2784;Dittingen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;55668.0
2020;2784;Dittingen;Lastenabgeltung_Total_CHF;190013.0
2020;2784;Dittingen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2784;Dittingen;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2784;Dittingen;Solidaritätsbeitrag_Finanzierung_CHF;7230.0
2020;2784;Dittingen;Kompensation_vergangene_Aufgabenverschiebung_CHF;18826.0
2020;2784;Dittingen;Kompensationsleistung_Sechste_Primar_CHF;114262.0
2020;2784;Dittingen;Kompensationsleistung_Ergänzungsleistungen_CHF;34849.0
2020;2784;Dittingen;Gemeindeanteil_Ergänzungsleistungen_CHF;117618.0
2020;2784;Dittingen;Gemeindeanteil_Spitalbeschulung_CHF;316.0
2020;2784;Dittingen;Gemeindeanteil_Schulleiterkonferenz_CHF;34.0
2020;2784;Dittingen;Nettobelastung_CHF;0.0
2020;2784;Dittingen;Nettogutschrift_CHF;162481.0
2020;2784;Dittingen;Mittlere_Wohnbevölkerung_Vorjahr;723.0
2020;2784;Dittingen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;1284983.15
2020;2784;Dittingen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;930046.75
2020;2784;Dittingen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;34637.55
2020;2784;Dittingen;Steuerkraft_Total_CHF;1970315.6091947
2020;2784;Dittingen;Steuerkraft_pro_Einwohner_CHF;2725.19448021397
2020;2784;Dittingen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;0.0
2020;2784;Dittingen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;0.0
2020;2785;Duggingen;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2785;Duggingen;Ressourcenausgleich_Empfängergemeinden_CHF;383982.0
2020;2785;Duggingen;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
